respond_to	int:1	CLASS ENTER EXEC GETCONST JMP JMPNOT LOADI_0 LOADI_1 LOADNIL LOADSYM RETNIL RETURN SEND SEND0 STOP TDEF
is_a_check	int:1	GETCONST JMP JMPNOT LOADI_0 LOADI_1 RETURN SEND STOP
nested_class	int:17	CLASS ENTER EXEC GETCONST GETMCNST LOADI LOADNIL RETURN SEND0 STOP TDEF
alias_method_keyword	int:18	ALIAS CLASS ENTER EXEC GETCONST LOADI LOADNIL RETNIL RETURN SEND0 STOP TDEF
to_s_override	str:k	CLASS ENTER EXEC GETCONST LOADNIL RETURN SEND0 STOP STRCAT STRING TDEF
equality_override	int:0	CLASS ENTER EQ EXEC GETCONST JMP JMPNOT LOADI_0 LOADI_1 LOADNIL RETTRUE RETURN SEND0 STOP TDEF
sort_with_block	int:1	ARRAY BLOCK ENTER LOADI_1 LOADI_2 LOADI_3 MOVE RETURN SEND SEND0 SENDB STOP
string_interpolation	str:x1y	LOADI_1 MOVE RETURN STOP STRCAT STRING
heredoc	int:3	MOVE RETURN SEND0 STOP STRING
symbol_to_s	str:abc	LOADSYM RETURN SEND0 STOP
dynamic_symbol	str:a1	INTERN LOADI_1 MOVE RETURN SEND0 STOP STRCAT STRING
array_size	int:3	ARRAY LOADI_1 LOADI_2 LOADI_3 RETURN SEND0 STOP
array_splat_literal	int:3	ARRAY ARRAY2 ARYCAT LOADI_1 LOADI_2 LOADI_3 MOVE RETURN SEND0 STOP
hash_size	int:2	HASH LOADI_1 LOADI_2 LOADSYM RETURN SEND0 STOP
hash_spread	int:2	HASH HASHADD HASHCAT LOADI_1 LOADI_2 LOADSYM MOVE RETURN SEND0 STOP
range_inclusive	int:3	LOADI_1 LOADI_3 RANGE_INC RETURN SEND0 STOP
range_exclusive	int:2	LOADI_1 LOADI_3 RANGE_EXC RETURN SEND0 STOP
nested_index	int:3	ARRAY GETIDX LOADI_0 LOADI_1 LOADI_2 LOADI_3 LOADI_4 RETURN STOP
multiple_assignment	int:3	ADD LOADI_1 LOADI_2 MOVE RETURN STOP
swap	int:2	LOADI_1 LOADI_2 MOVE RETURN STOP
masgn_splat	int:2	ARRAY2 LOADI_1 LOADI_2 LOADI_3 MOVE RETURN SEND0 STOP
op_assign	int:3	ADDILV LOADI_1 RETURN STOP
or_assign	int:5	JMPIF LOADI_5 LOADNIL MOVE RETURN STOP
and_assign	int:5	JMPNOT LOADI_1 LOADI_5 MOVE RETURN STOP
index_assign	int:9	ARRAY2 GETIDX0 LOADI LOADI_0 LOADI_1 LOADI_2 MOVE RETURN SETIDX STOP
hash_index_assign	int:3	GETIDX HASH LOADI_3 LOADSYM MOVE RETURN SETIDX STOP
big_integer	int:4294967296123	LOADL RETURN STOP
float_arithmetic	int:3	ADD LOADL RETURN SEND0 STOP
boolean_and	int:0	JMP JMPNOT LOADF LOADI_0 LOADI_1 RETURN STOP
global_variable	int:21	GETGV LOADI RETURN SETGV STOP
string_length	int:5	RETURN SEND0 STOP STRING
string_upcase	str:AB	RETURN SEND0 STOP STRING
string_split	int:3	RETURN SEND SEND0 STOP STRING
string_include	int:1	JMP JMPNOT LOADI_0 LOADI_1 RETURN SEND STOP STRING
string_to_i	int:42	RETURN SEND0 STOP STRING
string_times	int:4	LOADI_2 MUL RETURN SEND0 STOP STRING
string_index	str:e	GETIDX LOADI_1 RETURN STOP STRING
array_map	int:3	ARRAY BLOCK ENTER LOADI_1 LOADI_2 LOADI_3 MOVE MUL RETURN SEND0 SENDB STOP
array_select	int:2	ARRAY BLOCK ENTER GT LOADI_1 LOADI_2 LOADI_3 MOVE RETURN SEND0 SENDB STOP
array_inject	err:NoMethodError("undefined method `inject` for Array")	ADD ARRAY BLOCK ENTER LOADI_0 LOADI_1 LOADI_2 LOADI_3 MOVE RETURN SENDB STOP
array_push_pop	int:1	ARRAY2 LOADI_1 LOADI_2 MOVE RETURN SEND SEND0 STOP
array_join	str:1-2	ARRAY LOADI_1 LOADI_2 RETURN SEND STOP STRING
